Extracted from J1939DA_JAN23,,,,,,,
PGN,PG Label,PG Acronym,Transmission Rate,SP Position in PG,SPN,SP Label,SLOT Identifier
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",4.5,687,Disengage Differential Lock Request - Rear Axle 1,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",4.7,688,Disengage Differential Lock Request - Rear Axle 2,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",5.1,689,Disengage Differential Lock Request - Central,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",5.3,690,Disengage Differential Lock Request - Central Front,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",5.5,691,Disengage Differential Lock Request - Central Rear,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",5.7,5762,Transmission Load Reduction Inhibit Request,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",6.1,1852,Transmission Mode 1,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",6.3,1853,Transmission Mode 2,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",6.5,1854,Transmission Mode 3,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",6.7,1855,Transmission Mode 4,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",7.1,7695,Transmission Auto-Neutral (Manual Return) Request,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",7.3,4255,Transmission Requested Launch Gear,89
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",7.7,2985,Transmission Shift Selector Display Mode Switch,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",8.1,4246,Transmission Mode 5,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",8.3,4247,Transmission Mode 6,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",8.5,4248,Transmission Mode 7,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",8.7,4249,Transmission Mode 8,87
512,Electronic Brake System #1/1,EBS11,,,N/A,N/A,
768,Electronic Brake System #2/1,EBS21,,,N/A,N/A,
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,1-2,2920,External Acceleration Demand,115
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,3.1,2914,XBR EBI Mode,87
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,3.3,2915,XBR Priority,87
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,3.5,2916,XBR Control Mode,87
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,3.7,15201,XBR Compensation Mode,87
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,4,4099,XBR urgency,44
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,5.1,15263,XBR Brake Hold Request,87
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,8.1,3189,XBR Message Counter,220
1024,External Brake Request,XBR,When active: 20 ms; else 200 ms,8.5,3188,XBR Message Checksum,220
1280,CANopen Application Message #1/1,CAM11,,,N/A,N/A,
1536,CANopen Application Message #2/1,CAM21,,,N/A,N/A,
1792,General Purpose Valve Pressure,GPV4,100 ms,1-2,4086,Valve Load Sense Pressure,130
1792,General Purpose Valve Pressure,GPV4,100 ms,3,4087,Valve Pilot Pressure,49
1792,General Purpose Valve Pressure,GPV4,100 ms,4-5,4088,Valve Assembly Load sense Pressure,130
1792,General Purpose Valve Pressure,GPV4,100 ms,6-7,4089,Valve Assembly Supply Pressure,130
1792,General Purpose Valve Pressure,GPV4,100 ms,8.1,22130,Valve Pilot Pressure Switch,87
2048,Auxiliary Input/Output Status 5,AUXIO5,"Manufacturer defined, not faster than 20 ms",1-2,4155,Auxiliary I/O Channel #6,12
2048,Auxiliary Input/Output Status 5,AUXIO5,"Manufacturer defined, not faster than 20 ms",3-4,4156,Auxiliary I/O Channel #5,12
2048,Auxiliary Input/Output Status 5,AUXIO5,"Manufacturer defined, not faster than 20 ms",5-6,4157,Auxiliary I/O Channel #4,12
2048,Auxiliary Input/Output Status 5,AUXIO5,"Manufacturer defined, not faster than 20 ms",7-8,4158,Auxiliary I/O Channel #3,12
2304,Static Roll Angle Sensor Information,SRASI,100 ms,1,5582,Static Roll Angle,11
2304,Static Roll Angle Sensor Information,SRASI,100 ms,2.1,5583,Static Roll Angle Status,88
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,1.1,5603,Cruise Control Disable Command,87
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,1.3,5604,Cruise Control Resume Command,87
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,1.5,5605,Cruise Control Pause Command,87
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,1.7,9843,Cruise Control Set Command,87
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,2-3,8438,Idle Speed Request,76
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,4.1,8439,Idle Control Enable State,87
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,4.3,8440,Idle Control Request Activation,87
2560,Cruise Control / Vehicle Speed 2,CCVS2,Every 100 ms and on change but no faster than 20 ms,5,9569,Remote Vehicle Speed Limit Request,73
2816,Advanced Emergency Braking System 2,AEBS2,"Every 50 ms and if SPN 5681 ""Driver activation demand for Advanced Emergency Braking System"" has changed but no faster than every 10 ms",1.1,5681,Driver activation demand for Advanced Emergency Braking System,87
2816,Advanced Emergency Braking System 2,AEBS2,"Every 50 ms and if SPN 5681 ""Driver activation demand for Advanced Emergency Braking System"" has changed but no faster than every 10 ms",8.1,5682,AEBS2 message Counter,220
2816,Advanced Emergency Braking System 2,AEBS2,"Every 50 ms and if SPN 5681 ""Driver activation demand for Advanced Emergency Braking System"" has changed but no faster than every 10 ms",8.5,5683,AEBS2 message checksum,220
3072,Electronic Engine Controller 16,EEC16,50 ms,1,28,Accelerator Pedal 3 Position,44
3072,Electronic Engine Controller 16,EEC16,50 ms,2.1,7847,Ready For Clutch Engagement Status,87
3072,Electronic Engine Controller 16,EEC16,50 ms,2.3,7844,Engine Clutch Engage Request Status,87
3328,Transmission Control 2,TC2,50 ms,1.1,6569,Transmission Mode 9,87
3328,Transmission Control 2,TC2,50 ms,1.3,6570,Transmission Mode 10,87
3328,Transmission Control 2,TC2,50 ms,1.5,11751,Transmission Pre-Defined Maximum Gear Activation Request,87
3328,Transmission Control 2,TC2,50 ms,1.7,11752,Transmission Output Shaft Brake Request,87
3328,Transmission Control 2,TC2,50 ms,2.1,11753,Transmission Requested Reverse Launch Gear,89
3328,Transmission Control 2,TC2,50 ms,2.5,11754,Selected Maximum Gear Limit Activation Request,87
3328,Transmission Control 2,TC2,50 ms,2.7,12949,Transmission Mode 11,87
3328,Transmission Control 2,TC2,50 ms,3.1,12950,Transmission Mode 12,87
3328,Transmission Control 2,TC2,50 ms,3.3,12951,Transmission Mode 13,87
3328,Transmission Control 2,TC2,50 ms,3.5,12952,Transmission Mode 14,87
3328,Transmission Control 2,TC2,50 ms,3.7,12953,Transmission Mode 15,87
3328,Transmission Control 2,TC2,50 ms,4.1,12954,Transmission Mode 16,87
3328,Transmission Control 2,TC2,50 ms,4.3,12955,Transmission Mode 17,87
3328,Transmission Control 2,TC2,50 ms,4.5,12956,Transmission Mode 18,87
3328,Transmission Control 2,TC2,50 ms,4.7,12957,Transmission Mode 19,87
3328,Transmission Control 2,TC2,50 ms,5.1,12958,Transmission Mode 20,87
3328,Transmission Control 2,TC2,50 ms,5.3,13072,Disengage Differential Lock Request - Rear Axle 3,87
3584,Safety Header Message,SHM,,,9382,Sequence Number,
3584,Safety Header Message,SHM,,,9383,SDM Data CRC,
3584,Safety Header Message,SHM,,,9384,Inverted SDM Source Address,
3584,Safety Header Message,SHM,,,9385,Inverted SDM PS Value,
3584,Safety Header Message,SHM,,,9386,Inverted SDM PF Value,
3584,Safety Header Message,SHM,,,9387,Inverted SDM Data Page,
3584,Safety Header Message,SHM,,,9388,Inverted SDM Extended Data Page,
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,1.1,15269,HVESP11 High-Voltage Bus Connect Command,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,1.3,15270,HVESP11 Power-Down Command,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,1.5,15271,HVESP11 High-Voltage Bus Active Isolation Test Command,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,1.7,15272,HVESP11 High-Voltage Bus Passive Isolation Test Command,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,2.1,15273,HVESP11 Cell Balancing Command,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,2.3,15274,HVESP11 Enable Internal Charger Command,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,2.5,15275,HVESP11 Operation Consent,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,2.7,15276,HVESP11 High-Voltage Bus High Side Resistor Connect Request,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,3.1,15277,HVESP11 High-Voltage Bus Low Side Resistor Connect Request,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,3.3,20889,HVESP11 Thermal Management Maintenance Request,87
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,7.5,15278,HVESP11 Control 1 Counter,89
3840,High Voltage Energy Storage Pack 11 Control 1,HVESP11C1,20 ms,8.1,15279,HVESP11 Control 1 CRC,133
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,1.1,15411,HVESP12 High-Voltage Bus Connect Command,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,1.3,15412,HVESP12 Power-Down Command,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,1.5,15413,HVESP12 High-Voltage Bus Active Isolation Test Command,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,1.7,15414,HVESP12 High-Voltage Bus Passive Isolation Test Command,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,2.1,15415,HVESP12 Cell Balancing Command,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,2.3,15416,HVESP12 Enable Internal Charger Command,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,2.5,15417,HVESP12 Operation Consent,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,2.7,15418,HVESP12 High-Voltage Bus High Side Resistor Connect Request,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,3.1,15419,HVESP12 High-Voltage Bus Low Side Resistor Connect Request,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,3.3,20890,HVESP12 Thermal Management Maintenance Request,87
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,7.5,15420,HVESP12 Control 1 Counter,89
4096,High Voltage Energy Storage Pack 12 Control 1,HVESP12C1,20 ms,8.1,15421,HVESP12 Control 1 CRC,133
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,1.1,15553,HVESP13 High-Voltage Bus Connect Command,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,1.3,15554,HVESP13 Power-Down Command,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,1.5,15555,HVESP13 High-Voltage Bus Active Isolation Test Command,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,1.7,15556,HVESP13 High-Voltage Bus Passive Isolation Test Command,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,2.1,15557,HVESP13 Cell Balancing Command,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,2.3,15558,HVESP13 Enable Internal Charger Command,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,2.5,15559,HVESP13 Operation Consent,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,2.7,15560,HVESP13 High-Voltage Bus High Side Resistor Connect Request,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,3.1,15561,HVESP13 High-Voltage Bus Low Side Resistor Connect Request,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,3.3,20891,HVESP13 Thermal Management Maintenance Request,87
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,7.5,15562,HVESP13 Control 1 Counter,89
4352,High Voltage Energy Storage Pack 13 Control 1,HVESP13C1,20 ms,8.1,15563,HVESP13 Control 1 CRC,133
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,1.1,15695,HVESP14 High-Voltage Bus Connect Command,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,1.3,15696,HVESP14 Power-Down Command,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,1.5,15697,HVESP14 High-Voltage Bus Active Isolation Test Command,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,1.7,15698,HVESP14 High-Voltage Bus Passive Isolation Test Command,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,2.1,15699,HVESP14 Cell Balancing Command,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,2.3,15700,HVESP14 Enable Internal Charger Command,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,2.5,15701,HVESP14 Operation Consent,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,2.7,15702,HVESP14 High-Voltage Bus High Side Resistor Connect Request,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,3.1,15703,HVESP14 High-Voltage Bus Low Side Resistor Connect Request,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,3.3,20892,HVESP14 Thermal Management Maintenance Request,87
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,7.5,15704,HVESP14 Control 1 Counter,89
4608,High Voltage Energy Storage Pack 14 Control 1,HVESP14C1,20 ms,8.1,15705,HVESP14 Control 1 CRC,133
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,1.1,15837,HVESP15 High-Voltage Bus Connect Command,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,1.3,15838,HVESP15 Power-Down Command,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,1.5,15839,HVESP15 High-Voltage Bus Active Isolation Test Command,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,1.7,15840,HVESP15 High-Voltage Bus Passive Isolation Test Command,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,2.1,15841,HVESP15 Cell Balancing Command,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,2.3,15842,HVESP15 Enable Internal Charger Command,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,2.5,15843,HVESP15 Operation Consent,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,2.7,15844,HVESP15 High-Voltage Bus High Side Resistor Connect Request,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,3.1,15845,HVESP15 High-Voltage Bus Low Side Resistor Connect Request,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,3.3,20893,HVESP15 Thermal Management Maintenance Request,87
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,7.5,15846,HVESP15 Control 1 Counter,89
4864,High Voltage Energy Storage Pack 15 Control 1,HVESP15C1,20 ms,8.1,15847,HVESP15 Control 1 CRC,133
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,1.1,15979,HVESP16 High-Voltage Bus Connect Command,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,1.3,15980,HVESP16 Power-Down Command,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,1.5,15981,HVESP16 High-Voltage Bus Active Isolation Test Command,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,1.7,15982,HVESP16 High-Voltage Bus Passive Isolation Test Command,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,2.1,15983,HVESP16 Cell Balancing Command,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,2.3,15984,HVESP16 Enable Internal Charger Command,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,2.5,15985,HVESP16 Operation Consent,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,2.7,15986,HVESP16 High-Voltage Bus High Side Resistor Connect Request,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,3.1,15987,HVESP16 High-Voltage Bus Low Side Resistor Connect Request,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,3.3,20894,HVESP16 Thermal Management Maintenance Request,87
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,7.5,15988,HVESP16 Control 1 Counter,89
5120,High Voltage Energy Storage Pack 16 Control 1,HVESP16C1,20 ms,8.1,15989,HVESP16 Control 1 CRC,133
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,1.1,16121,HVESP17 High-Voltage Bus Connect Command,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,1.3,16122,HVESP17 Power-Down Command,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,1.5,16123,HVESP17 High-Voltage Bus Active Isolation Test Command,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,1.7,16124,HVESP17 High-Voltage Bus Passive Isolation Test Command,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,2.1,16125,HVESP17 Cell Balancing Command,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,2.3,16126,HVESP17 Enable Internal Charger Command,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,2.5,16127,HVESP17 Operation Consent,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,2.7,16128,HVESP17 High-Voltage Bus High Side Resistor Connect Request,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,3.1,16129,HVESP17 High-Voltage Bus Low Side Resistor Connect Request,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,3.3,20895,HVESP17 Thermal Management Maintenance Request,87
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,7.5,16130,HVESP17 Control 1 Counter,89
5376,High Voltage Energy Storage Pack 17 Control 1,HVESP17C1,20 ms,8.1,16131,HVESP17 Control 1 CRC,133
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,1.1,16263,HVESP18 High-Voltage Bus Connect Command,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,1.3,16264,HVESP18 Power-Down Command,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,1.5,16265,HVESP18 High-Voltage Bus Active Isolation Test Command,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,1.7,16266,HVESP18 High-Voltage Bus Passive Isolation Test Command,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,2.1,16267,HVESP18 Cell Balancing Command,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,2.3,16268,HVESP18 Enable Internal Charger Command,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,2.5,16269,HVESP18 Operation Consent,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,2.7,16270,HVESP18 High-Voltage Bus High Side Resistor Connect Request,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,3.1,16271,HVESP18 High-Voltage Bus Low Side Resistor Connect Request,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,3.3,20896,HVESP18 Thermal Management Maintenance Request,87
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,7.5,16272,HVESP18 Control 1 Counter,89
5632,High Voltage Energy Storage Pack 18 Control 1,HVESP18C1,20 ms,8.1,16273,HVESP18 Control 1 CRC,133
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,1.1,16405,HVESP19 High-Voltage Bus Connect Command,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,1.3,16406,HVESP19 Power-Down Command,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,1.5,16407,HVESP19 High-Voltage Bus Active Isolation Test Command,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,1.7,16408,HVESP19 High-Voltage Bus Passive Isolation Test Command,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,2.1,16409,HVESP19 Cell Balancing Command,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,2.3,16410,HVESP19 Enable Internal Charger Command,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,2.5,16411,HVESP19 Operation Consent,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,2.7,16412,HVESP19 High-Voltage Bus High Side Resistor Connect Request,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,3.1,16413,HVESP19 High-Voltage Bus Low Side Resistor Connect Request,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,3.3,20897,HVESP19 Thermal Management Maintenance Request,87
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,7.5,16414,HVESP19 Control 1 Counter,89
5888,High Voltage Energy Storage Pack 19 Control 1,HVESP19C1,20 ms,8.1,16415,HVESP19 Control 1 CRC,133
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,1.1,16547,HVESP20 High-Voltage Bus Connect Command,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,1.3,16548,HVESP20 Power-Down Command,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,1.5,16549,HVESP20 High-Voltage Bus Active Isolation Test Command,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,1.7,16550,HVESP20 High-Voltage Bus Passive Isolation Test Command,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,2.1,16551,HVESP20 Cell Balancing Command,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,2.3,16552,HVESP20 Enable Internal Charger Command,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,2.5,16553,HVESP20 Operation Consent,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,2.7,16554,HVESP20 High-Voltage Bus High Side Resistor Connect Request,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,3.1,16555,HVESP20 High-Voltage Bus Low Side Resistor Connect Request,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,3.3,20898,HVESP20 Thermal Management Maintenance Request,87
6144,High Voltage Energy Storage Pack 20 Control 1,HVESP20C1,20 ms,7.5,16556,HVESP20 Control 1 Counter,89
